brief_name,eng_name,name
-1,-1,CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI - DỊCH VỤ LONG ĐẠI VIỆT
-1,-1,Công Ty TNHH Sản Xuất Thương Mại Triều Thịnh
"TRUONG SON WOOD CO.,LTD",Truong Son Wood Belongings Household Goods Production Company Limited,Công Ty TNHH Sản Xuất Đồ Dùng Gia Dụng Gỗ Trường Sơn
-1,"BAO LOC CO.,LTD",CÔNG TY TNHH THƯƠNG MẠI VÀ LƯƠNG THỰC BẢO LỘC
OLUVIYA INTERNATIONAL COMPANY LIMITED,OLUVIYA INTERNATIONAL COMPANY LIMITED,CÔNG TY TNHH QUỐC TẾ OLUVIYA
THANH TOAN PHAT,THANH TOAN PHAT,CÔNG TY TNHH THIẾT KẾ VÀ XÂY DỰNG THANH TOÀN PHÁT
AYASAN VIETNAM,AYASAN VIETNAM,CÔNG TY TNHH AYASAN VIỆT NAM
-1,-1,CÔNG TY TNHH TMDV TƯ VẤN ĐẠI VIỆT
-1,-1,Công Ty TNHH Thương Mại Dịch Vụ Phúc Thành Khang
-1,-1,CÔNG TY CỔ PHẦN NHỰA CÔNG NGHIỆP QUANG ANH - CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH
"TIEN VIET TRADING CO., LTD","TIEN VIET TRADING CO., LTD",CÔNG TY TNHH XÂY DỰNG VẬN TẢI VÀ THƯƠNG MẠI TIẾN VIỆT
"MINHKHUEST., JSC","MINHKHUEST., JSC",CÔNG TY CỔ PHẦN SÁNG TẠO MINH KHUÊ
"ABAL., JSC","ABAL., JSC",CÔNG TY CỔ PHẦN GIAO VẬN VÀ THƯƠNG MẠI ABA
-1,"VIỆT NHẬT CO., LTD",CÔNG TY TNHH VIỆT NHẬT HOÀ BÌNH
SACVIET ADVERTISING TRADING AND COMMUNICATION CO. LTD,SACVIET ADVERTISING TRADING AND COMMUNICATION CO. LTD,CÔNG TY TNHH QUẢNG CÁO THƯƠNG MẠI VÀ TRUYỀN THÔNG SẮC VIỆT
-1,-1,CÔNG TY TNHH MỘT THÀNH VIÊN VANG DANH
CTY TNHH MTV TMDV THUY DUONG,CTY TNHH MTV TMDV THUY DUONG,CÔNG TY TNHH MỘT THÀNH VIÊN TM - DV THÙY DƯƠNG
"KHANH LINH PHARMA CO.,LTD","KHANH LINH PHARMA CO.,LTD",CÔNG TY TNHH DƯỢC PHẨM KHÁNH LINH
CVIC8,CVIC8,CÔNG TY CỔ PHẦN TAXI HÀNG KHÔNG CỬU LONG
"XDNTBXDN CO.,LTD","XDNTBXDN CO.,LTD",CÔNG TY TNHH MỘT THÀNH VIÊN XÂY DỰNG VÀ NỘI THẤT BIỂN XANH ĐẢO NGỌC
-1,-1,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN TỔNG HỢP THƯƠNG MẠI T&M
-1,-1,CÔNG TY TNHH THƯƠNG MẠI TIỆC VÀNG
HOA BINH VUNG TAU CONSTRUCTION CORPORATION,HOA BINH VUNG TAU CONSTRUCTION CORPORATION,CÔNG TY CỔ PHẦN HÒA BÌNH VŨNG TÀU
DQL COMMUNICATION TECHNOLOGY SOLUTION AND SERVICE JOINT STOCK COMPANY,DQL COMMUNICATION TECHNOLOGY SOLUTION AND SERVICE JOINT STOCK COMPANY,CÔNG TY CỔ PHẦN DỊCH VỤ GIẢI PHÁP CÔNG NGHỆ VIỄN THÔNG DQL
-1,-1,CÔNG TY CỔ PHẦN THƯƠNG MẠI & XÂY DỰNG TDL
-1,"KIEU HOI VIET A CO., LTD",CÔNG TY TNHH MỘT THÀNH VIÊN KIỀU HỐI VIỆT Á
CÔNG TY TNHH XD & TM HẢI PHÁT,CÔNG TY TNHH XD & TM HẢI PHÁT,CÔNG TY TRÁCH NHIỆM HỮU HẠN XÂY DỰNG VÀ THƯƠNG MẠI HẢI PHÁT
-1,-1,CÔNG TY TNHH QUỐC BẢO HƯNG THỊNH
-1,-1,CÔNG TY CỔ PHẦN HIỆP TRUNG
-1,-1,CÔNG TY CỔ PHẦN VƯỜN HOÀN THIỆN
-1,-1,CÔNG TY TNHH THƯƠNG MẠI VIỄN THÔNG PHƯƠNG NAM
-1,-1,CÔNG TY TRÁCH NHIỆM HỮU HẠN THƯƠNG MẠI DỊCH VỤ THỂ THAO AN PHÁT
-1,-1,CÔNG TY TNHH MỘT THÀNH VIÊN DƯƠNG HỒNG PHÚC
-1,-1,CÔNG TY CỔ PHẦN ECO BEACH GROUP
TAN VIET HOANG TRADE AND SERVICE TOURIST JOINT STOCK COMPANY,TAN VIET HOANG TRADE AND SERVICE TOURIST JOINT STOCK COMPANY,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ DU LỊCH TÂN VIỆT HOÀNG
"SGO INTERNATIONAL.,JSC","SGO INTERNATIONAL.,JSC",CÔNG TY CỔ PHẦN SGO QUỐC TẾ
-1,-1,CÔNG TY TNHH MỘT THÀNH VIÊN GIA PHÚ AN
PAN GRAFIK VIET NAM COMPANY LIMITED,PAN GRAFIK VIET NAM COMPANY LIMITED,CÔNG TY TNHH PAN GRAFIK VIỆT NAM
-1,-1,CÔNG TY TNHH MTV PHÚ VINH SANG
-1,-1,CÔNG TY TNHH THƯƠNG MẠI VÀ MỸ THUẬT MINH CHÂU
-1,-1,CÔNG TY TRÁCH NHIỆM HỮU HẠN HƯƠNG TIẾN
-1,Công Ty TNHH Xây Dựng Và Phát Triển Thành Vinh 135,Công Ty TNHH Xây Dựng Và Phát Triển Thành Vinh 135
"THINH PHAT C.D.I.,JSC","THINH PHAT C.D.I.,JSC",CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN XÂY DỰNG THỊNH PHÁT
-1,-1,CÔNG TY TNHH CUNG ỨNG DỊCH VỤ VÀ TỔ CHỨC SỰ KIỆN THỂ THAO
-1,Habina Joint Stock Company,Công Ty Cổ Phần Habina
LINH TRANG TRADING AND INVESTMENT CONSULTANCY COMPANY LIMITE,LINH TRANG TRADING AND INVESTMENT CONSULTANCY COMPANY LIMITE,CÔNG TY TNHH TƯ VẤN ĐẦU TƯ VÀ THƯƠNG MẠI LINH TRANG
-1,-1,CÔNG TY TNHH VIỆT BÁCH
-1,-1,CÔNG TY TNHH TM-DV KỸ THUẬT VIỄN THÔNG MINH VIỆT
QUANG VINH ATB TECHNOLOGY JOINT STOCK COMPANY,QUANG VINH ATB TECHNOLOGY JOINT STOCK COMPANY,CÔNG TY CỔ PHẦN CÔNG NGHỆ ATB QUANG VINH
-1,-1,CÔNG TY HHTĐ CỤC SÁU ĐSTQ TỔNG THẦU GÓI (EPC) DỰ ÁN HĐH THÔNG TIN TÍN HIỆU ĐƯỜNG SẮT VINH-SÀI GÒN
"HAI HOA DEVEMENT CO.,LTD","HAI HOA DEVEMENT CO.,LTD",CÔNG TY TNHH PHÁT TRIỂN HÀI HÒA
-1,-1,CÔNG TY TNHH MỘT THÀNH VIÊN NGỌC LIÊN
-1,-1,CÔNG TY TNHH TIỀN PHONG 1
"SONG LONG CO., LTD",SONG LONG COMPANY LIMITED,CÔNG TY TNHH SONG LONG
-1,-1,CÔNG TY TNHH XÂY DỰNG VÀ TRANG TRÍ NỘI THẤT PHÚC THỊNH
-1,-1,CÔNG TY TNHH SẢN XUẤT VÀ KINH DOANH VĂN HÀ BẮC NINH
CT TNHH TVXD HIỆP HƯNG,CT TNHH TVXD HIỆP HƯNG,CÔNG TY TNHH TƯ VẤN XÂY DỰNG HIỆP HƯNG
"NAM MINH INVESTMENT CO., LTD","NAM MINH INVESTMENT CO., LTD",CÔNG TY TNHH ĐẦU TƯ NAM MINH
-1,-1,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VẬN TẢI VÀ XẾP DỠ HOÀNG QUÝ
CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ KIM THÚY MI,CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ KIM THÚY MI,CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ KIM THÚY MI
-1,-1,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ NĂNG LƯỢNG MẶT TRỜI VIỆT - CHI NHÁNH BÌNH TÂN
SABAI SABAI VIỆT NAM,Công Ty TNHH Sabai Sabai Việt Nam,Công Ty TNHH Sabai Sabai Việt Nam
NGUYEN LAI TRADING AND INVESTMENT JOINT STOCK COMPANY,NGUYEN LAI TRADING AND INVESTMENT JOINT STOCK COMPANY,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ THƯƠNG MẠI NGUYÊN LAI
CÔNG TY TNHH CÔNG NGHỆ THỰC PHẨM TD,CÔNG TY TNHH CÔNG NGHỆ THỰC PHẨM TD,CÔNG TY TNHH CÔNG NGHỆ THỰC PHẨM TRÙNG DƯƠNG
-1,-1,CÔNG TY TNHH KIÊN AN
NAVICO,NAVICO,CÔNG TY TNHH KỸ THUẬT CÔNG NGHIỆP VÀ XÂY DỰNG NAM VIỆT
-1,-1,CÔNG TY TNHH BẢO TÍN
-1,"THÀNH LONG CO.,LTD",CÔNG TY TNHH THỰC PHẨM - THƯƠNG MẠI - DỊCH VỤ THÀNH LONG
-1,-1,CÔNG TY TRÁCH NHIỆM HỮU HẠN THƯƠNG MẠI MÁY TÍNH HỮU CHÍ
CARMIA TECHNOLOGY TRADING COMPANY LIMITED,CARMIA TECHNOLOGY TRADING COMPANY LIMITED,CÔNG TY TNHH THƯƠNG MẠI CARMIA TECHNOLOGY
-1,-1,CÔNG TY TNHH CÔNG NGHỆ NHÀ TECHNOHOME
-1,-1,CÔNG TY TRÁCH NHIỆM HỮU HẠN NGỌC TRINH
TRAN GIA LOGISTICS SERVICE AND TRADE COMPANY LIMITED,TRAN GIA LOGISTICS SERVICE AND TRADE COMPANY LIMITED,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ LOGISTICS TRẦN GIA
-1,-1,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ PHÚC LÊ GIA VIỆT NAM
-1,-1,CÔNG TY TNHH MTV BIỂN TÂY
-1,-1,CÔNG TY TNHH ĐTXD THANH NGUYỆT
-1,-1,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ NGŨ THÀNH
VIET HOTEL TECHNOLOGY CORP,VIET HOTEL TECHNOLOGY CORP,CÔNG TY CỔ PHẦN CÔNG NGHỆ KHÁCH SẠN VIỆT
-1,-1,CÔNG TY TNHH DỊCH VỤ TÀI CHÍNH - KẾ TOÁN ACV
TRUONG AN PRODUCTION AND TRADING JOINT STOCK COMPANY,TRUONG AN PRODUCTION AND TRADING JOINT STOCK COMPANY,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ SẢN XUẤT TRƯỜNG AN
"CHI THANH T.S CO.,LTD","CHI THANH T.S CO.,LTD",CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ CHÍ THÀNH
-1,-1,Công Ty TNHH Việt Duy Trần
-1,-1,CÔNG TY TNHH THU TRANG
-1,"BAC HA CONS CO.,LTD",CÔNG TY TNHH XÂY DỰNG TRANG TRÍ NỘI THẤT BẮC HÀ
-1,-1,CÔNG TY TNHH ĐĂNG PHÁT
-1,"DUY TUAN SERVICES TRADING CO.,LTD",CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI DUY TUẤN
-1,-1,CÔNG TY CỔ PHẦN KHAI KHOÁNG LONG ĐẠT
-1,-1,CÔNG TY TNHH THƯƠNG MẠI VẬN TẢI VLXD PHƯƠNG HUY
"PHUOC LOC YEN CONSTRUCTION CO., LTD","PHUOC LOC YEN CONSTRUCTION CO., LTD",CÔNG TY TNHH XÂY DỰNG PHƯỚC LỘC YẾN
-1,"THO PHU CO.,LTD",CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ THỌ PHÚ
-1,BLA VIET NAM INTERNATIONAL EDUCATION JOINT STOCK COMPANY,CÔNG TY CỔ PHẦN GIÁO DỤC QUỐC TẾ BLA VIỆT NAM
CTY TNHH SX - TM - DV LÊ NAM,"LE NAM MANUFACTURING TRADING SERVICES CO., LTD",CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ LÊ NAM
MINH PHAT LPT,MINH PHAT LPT COMPANY LIMITED,Công Ty TNHH Minh Phát Lpt
-1,-1,CÔNG TY TNHH SẢN XUẤT BẢO LỘC PHÁT
-1,-1,CÔNG TY TNHH VẬT LIỆU XÂY DỰNG BẢO VI
"GIA PHAT PT.,JSC)","GIA PHAT PT.,JSC)",CÔNG TY CỔ PHẦN ĐẦU TƯ SẢN XUẤT VÀ PHÁT TRIỂN THƯƠNG MẠI GIA PHÁT
-1,-1,CÔNG TY TRÁCH NHIỆM HỮU HẠN CÔNG NGHỆ INSO
-1,-1,CÔNG TY TNHH ĐỊA ỐC PTLAND
CÔNG TY TNHH TUỔI TRẺ,CÔNG TY TNHH TUỔI TRẺ,CÔNG TY TNHH TUỔI TRẺ
-1,-1,CÔNG TY TNHH VẬT LIỆU XÂY DỰNG HOÀNG QUYÊN
-1,-1,CÔNG TY TNHH PHÒNG KHÁM ĐA KHOA ĐINH TIÊN HOÀNG
-1,-1,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI NHẬT HOÀNG JP
DUONG MAI TRADING AND SERVICES COMPANY LIMITED,DUONG MAI TRADING AND SERVICES COMPANY LIMITED,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ DƯƠNG MAI
LA BLISS SERVICE COMPANY LIMITED,LA BLISS SERVICE COMPANY LIMITED,CÔNG TY TNHH DỊCH VỤ LA BLISS
-1,-1,CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI SẢN XUẤT QUANG MPT
CONDOLAND CORP,CONDOLAND CORP,CÔNG TY CỔ PHẦN ĐẦU TƯ BẤT ĐỘNG SẢN XÂY DỰNG CONDOLAND
"VINODA CO.,LTD","VINODA CO.,LTD",CÔNG TY TNHH THƯƠNG MẠI - SẢN XUẤT THUỐC THÚ Y VINODA
"VAN TAM TIN CO.,LTD",VAN TAM TIN SERVICE TRADING PRODUCTION COMPANY LIMITED,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ VẠN TÂM TÍN
-1,-1,CÔNG TY TNHH AA & SS
-1,-1,CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG THƯƠNG MẠI PHÚ VƯƠNG
-1,-1,CÔNG TY TNHH LIÊN DOANH DỊCH VỤ BẢO VỆ KAWASAKI VIỆT NAM - VPĐD HÀ NỘI
-1,-1,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ TRẦN VĂN ANH
-1,-1,CÔNG TY TNHH MTV DUY TÍCH
-1,-1,CÔNG TY TNHH MỘT THÀNH VIÊN PHONG ĐIỀN
-1,-1,CÔNG TY TNHH DỊCH VỤ TƯ VẤN QUẢN LÝ ONE LOCAL STAYS
-1,-1,CÔNG TY TNHH GIẢI TRÍ VÀ TRUYỀN THÔNG P MEDIA
-1,-1,Công Ty Cổ Phần Đầu Tư Chăn Nuôi Thạch Ngàn
HUNG HUNG TRANSPORT SERVICE JOINT STOCK COMPANY,HUNG HUNG TRANSPORT SERVICE JOINT STOCK COMPANY,CÔNG TY CỔ PHẦN DỊCH VỤ VẬN TẢI HÙNG HƯNG
-1,-1,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ DƯỢC TÂM PHÚC THÀNH
"N HL., JSC","N HL., JSC",CÔNG TY CỔ PHẦN XÂY DỰNG VÀ THƯƠNG MẠI NAM HẢI LONG
"THIEN AN CO.,LTD","THIEN AN DESIGN - CONSTRUCTION - TRADING CO.,LTD",CÔNG TY TNHH THIẾT KẾ - XÂY DỰNG - THƯƠNG MẠI THIÊN AN
-1,-1,CÔNG TY TNHH TA CA TRO QN
-1,-1,Công Ty TNHH Tenergy
ANTHAI TRADING INVESTMENT COMPANY LIMITED,ANTHAI TRADING INVESTMENT COMPANY LIMITED,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI AN THÁI
-1,-1,CÔNG TY TNHH LỆ QUÂN
-1,-1,CÔNG TY TNHH SẢN XUẤT CƠ KHÍ - KHUNG NHÔM LONG THÀNH
CÔNG TY TNHH DV DL & VT PHƯƠNG VINH,CÔNG TY TNHH DV DL & VT PHƯƠNG VINH,CÔNG TY TNHH DỊCH VỤ DU LỊCH VÀ VẬN TẢI PHƯƠNG VINH
-1,QUYNH HUONG MANUFACTURE TRADING IMPORT EXPORT COMPANY LIMITE,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI XUẤT NHẬP KHẨU QUỲNH HƯƠNG
-1,-1,Công Ty TNHH Thương Mại Dịch Vụ Cơ Khí Và Xây Dựng Đông Anh Phát
-1,HUNG HUNG PACKAGING PRINTING COMPANY LIMITED,CÔNG TY TNHH IN ẤN HÙNG HƯNG
VINA RAIN COMPANY LIMITED,VINA RAIN COMPANY LIMITED,CÔNG TY TNHH MƯA VINA
-1,CMC JSC,CÔNG TY CỔ PHẦN CMC
-1,SOLUTION CREATIVE ARCHITECTURE COMPANY LIMITED,Công Ty TNHH Tư Vấn Kiến Trúc Giải Pháp Sáng Tạo
-1,-1,CÔNG TY TNHH MỘT THÀNH VIÊN THÊU HỒNG CHÂU
THCHEM VIET NAM TRADING AND SERVICE COMPANY LIMITED,Thchem Viet Nam Trading And Service Company Limited,Công Ty TNHH Thương Mại Và Dịch Vụ Thchem Việt Nam
-1,-1,CÔNG TY TNHH THƯƠNG MẠI PHAN NGỌC
ROYAL LOTUS JSC,ROYAL LOTUS JSC,CÔNG TY CỔ PHẦN BÔNG SEN HOÀNG GIA
-1,"XUAN QUYNH FTPOM CO., LTD",CÔNG TY TNHH MỘT THÀNH VIÊN SẢN XUẤT THƯƠNG MẠI THỜI TRANG XUÂN QUỲNH
-1,-1,CÔNG TY TNHH THƯƠNG MẠI & VẬN TẢI MẠNH TUẤN
-1,-1,CÔNG TY CP VẬN TẢI AN SƠN HÀ
-1,MEKONG HARVEST COMPANY LIMITED,CÔNG TY TNHH MÙA VỤ MÊ KÔNG
"ZE TECH VINA CO., LTD","ZE TECH VINA CO., LTD",CÔNG TY TNHH ZE TECH VINA
-1,-1,CÔNG TY XÂY DỰNG CÔNG TRÌNH 11
-1,-1,CÔNG TY TNHH TIẾN PHÁT
-1,-1,CÔNG TY CỔ PHẦN MIPECO THĂNG LONG
MY HOAN PROCO,MY HOAN PROCO,CÔNG TY TNHH SẢN XUẤT MỸ HOÀN
TIS TELECOMMUNICATIONS INFORMATICS SERVICES AND TRADE JOINT,TIS TELECOMMUNICATIONS INFORMATICS SERVICES AND TRADE JOINT,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ TIN HỌC VIỄN THÔNG TIS
"VIETVIEWGROUP CO., LTD",VIETVIEWGROUP SERVICES AND TRADING INVESTMENT COMPANY LIMITED,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI VÀ DỊCH VỤ VIETVIEWGROUP
VAN VIEN TUNG JP LIMITED COMPANY,VAN VIEN TUNG JP LIMITED COMPANY,CÔNG TY TNHH VẠN NIÊN TÙNG JP
-1,-1,CÔNG TY TNHH THƯƠNG MẠI VÀ ĐẦU TƯ PHÁT TRIỂN MINH TRANG
-1,-1,CÔNG TY TNHH THANH BÌNH
"TIPTOP VIETNAM TRADING CO.,LTD","TIPTOP VIETNAM TRADING CO.,LTD",CÔNG TY TNHH THƯƠNG MẠI TIPTOP VIỆT NAM
"vnedusoft., jsc",vietnam education softwere joint stock company,CÔNG TY CỔ PHẦN PHẦN MỀM GIÁO DỤC VIỆT NAM
-1,PHUC LOI TRADE SERVICES AND CONSTRUCTION LIMITED COMPANY,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VÀ XÂY DỰNG PHÚC LỢI
-1,-1,CÔNG TY TNHH MỘT THÀNH VIÊN ĐÀO TẠO NGOẠI NGỮ - TIN HỌC PHONG QUYÊN
-1,-1,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ CHU GIA PHÁT
-1,-1,CÔNG TY TNHH WEI MAO VIỆT NAM
"PUMI CO.,LTD","PUMI CO.,LTD",CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ CÔNG NGHIỆP PUMI
-1,-1,CÔNG TY TNHH THƯƠNG MẠI - SẢN XUẤT -XUẤT NHẬP KHẨU BIBEMINOS
CÔNG TY TNHH VIC QUẢNG NAM,CÔNG TY TNHH VIC QUẢNG NAM,CÔNG TY TNHH VIC QUẢNG NAM
-1,"KIM PHONG MECHANICS ELECTRICITY CO., LTD",CÔNG TY TNHH CƠ KHÍ ĐIỆN KIM PHONG
-1,-1,CÔNG TY TNHH ICYBER MINH ĐẠT
DAI VU EQUIPMENT SERVICES TRADING COMPANY LIMITED,DAI VU EQUIPMENT SERVICES TRADING COMPANY LIMITED,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ THIẾT BỊ ĐẠI VŨ
"EUBIZ BINH PHUOC., JSC",EUBIZ BINH PHUOC JOINT STOCK COMPANY,CÔNG TY CỔ PHẦN EUBIZ BÌNH PHƯỚC
"NGUYEN LAM PTS CO.,LTD","NGUYEN LAM PTS CO.,LTD",CÔNG TY TNHH IN - THƯƠNG MẠI VÀ DỊCH VỤ NGUYỄN LÂM
-1,SKY EURO COMPANY LIMITED,CÔNG TY TNHH SKY EURO
CGS CO - LTD,CGS CO - LTD,CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI CHẤN GIANG SAN
"BEP TA TAP.,JSC","BEP TA TAP.,JSC",CÔNG TY CỔ PHẦN SẢN XUẤT VÀ THƯƠNG MẠI BẾP TA
VINASKY LOGISTICS COMPANY LIMITED,VINASKY LOGISTICS COMPANY LIMITED,CÔNG TY TNHH LOGISTICS VINASKY
LQ.JSC,LQ.JSC,CÔNG TY CP PHÁT TRIỂN LQ
-1,-1,CÔNG TY TNHH XUẤT NHẬP KHẨU TRIỆU THÔNG
-1,-1,CÔNG TY TNHH DỊCH VỤ DU LỊCH GIA PHÚC - MŨI NÉ
HUONG DUONG AUTOMATIC PLASTIC COMPANY LIMITED,HUONG DUONG AUTOMATIC PLASTIC COMPANY LIMITED,CÔNG TY TNHH TỰ ĐỘNG HƯỚNG DƯƠNG
-1,-1,CÔNG TY TNHH XNK THƯƠNG MẠI ĐẠI THIÊN LONG
-1,"R.E.E BD CO.,LTD",CÔNG TY TNHH THIẾT KẾ XÂY DỰNG R.E.E
-1,-1,CÔNG TY TRÁCH NHIỆM HỮU HẠN BÁ THUẬN- CHI NHÁNH MIỀN TRUNG
SEUNGLI VIET NAM COMPANY LIMITED,Seungli Viet Nam Company Limited,Công Ty TNHH Seungli Việt Nam
-1,-1,CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU MỸ NGHỆ THĂNG LONG
-1,CÔNG TY TNHH SX TM DV LÊ THÀNH,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ LÊ THÀNH
-1,-1,CÔNG TY TNHH GIÁO DỤC VÀ ĐÀO TẠO TÂN THỦ KHOA
-1,-1,CÔNG TY TNHH ASM PACIFIC VIỆT NAM
PHUC HUNG MEA COMPANY LIMITED,PHUC HUNG MECHANICAL ELECTRICAL AUTOMATION COMPANY LIMITED,Công Ty TNHH Cơ Điện Tự Động Phúc Hưng
-1,-1,CÔNG TY TRÁCH NHIỆM HỮU HẠN THƯƠNG MẠI VÀ XÂY DỰNG VĨNH XUÂN
-1,-1,CÔNG TY CỔ PHẦN THƯƠNG MẠI ĐẠI MINH QUANG
-1,-1,CÔNG TY TNHH BAO BÌ BÌNH AN
-1,-1,CÔNG TY TNHH XIAOMIWORLD
ANTECH,ANTECH,CÔNG TY CP CÔNG NGHỆ MỚI ASIA
"NR., LTD","NR., LTD",CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ NR
-1,-1,CÔNG TY TNHH ĐẦU TƯ VÀ THƯƠNG MẠI HINA
-1,-1,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI VÀ DỊCH VỤ TỔNG HỢP NAM ANH
-1,-1,CÔNG TY TNHH MÂY TRE ĐAN VÀ XÂY DỰNG HIỀN TÀI
-1,-1,CÔNG TY TNHH HOÀNG VIỆT HÙNG
CÔNG TY TNHH MTV SX TM DV XD KIM SƠN,CÔNG TY TNHH MTV SX TM DV XD KIM SƠN,CÔNG TY TNHH MỘT THÀNH VIÊN SẢN XUẤT THƯƠNG MẠI DỊCH VỤ XÂY DỰNG KIM SƠN
"MUOI CO CO., LTD",MUOI CO LIMITED LIABILITY COMPANY,CÔNG TY TNHH MƯỜI CƠ
"PMK SEAFOOD CO., LTD","PMK SEAFOOD CO., LTD",CÔNG TY TNHH THỦY SẢN PMK
-1,KHÁCH SẠN PHONG LAN XANH,CÔNG TY TNHH KHÁCH SẠN PHONG LAN XANH
"CHIKO VIETNAM CO., LTD",CHIKO VIETNAM COMPANY LIMITED,CÔNG TY TNHH CHIKO VIETNAM
"HOA DUONG CONSULTING CO., LTD","HOA DUONG CONSULTING CO., LTD",CÔNG TY TNHH TƯ VẤN DU HỌC HOA DƯƠNG
"THAI HUY - NGUYEN CO.,LTD","THAI HUY - NGUYEN CO.,LTD",CÔNG TY TNHH THÁI HUY - NGUYỄN
"SONG CAU TP CO.,LTD","SONG CAU TP CO.,LTD",CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI SÔNG CẦU
"CHECABUS CO.,LTD","CHECABUS CO.,LTD",CÔNG TY TNHH CHECABUS VIỆT NAM
-1,-1,CÔNG TY TNHH MTV MINH HIẾU VĨNH LONG
"DUCTRI FAS CO.,LTD","DUCTRI FAS CO.,LTD",CÔNG TY TNHH THỜI TRANG ĐỨC TRÍ
HIDICO-LAND,HIDICO-LAND,CÔNG TY TNHH MỘT THÀNH VIÊN KINH DOANH NHÀ HIDICO
"MAIPHONG AD CO.,LTD","MAIPHONG AD CO.,LTD",CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ QUẢNG CÁO MAI PHONG
-1,-1,CÔNG TY CỔ PHẦN SẢN XUẤT VÀ THƯƠNG MẠI SẮT THÉP MINH AN
-1,-1,CÔNG TY TNHH MỘT THÀNH VIÊN DỊCH VỤ VÀ THƯƠNG MẠI THẾ VINH
-1,-1,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI XUẤT NHẬP KHẨU THIÊN PHÚ TÀI
-1,-1,CÔNG TY CỔ PHẦN LED HÀ NỘI
CÔNG TY TNHH MTV THƯƠNG MẠI PHÚ THỪA,CÔNG TY TNHH MTV THƯƠNG MẠI PHÚ THỪA,CÔNG TY TNHH MTV THƯƠNG MẠI PHÚ THỪA
-1,-1,CÔNG TY TRÁCH NHIỆM HỮU HẠN ĐẦU TƯ VÀ THƯƠNG MẠI QUANG TRUNG HƯNG YÊN
-1,TOC TIEN COMPANY LIMITED,CÔNG TY TNHH TỐC TIẾN
-1,-1,CÔNG TY TRÁCH NHIỆM HỮU HẠN THƯƠNG MẠI GẤC ĐỎ
-1,-1,CÔNG TY TNHH KANG NAM BẮC NINH
TRUONG HAI MINERAL PROCESSING AND MINING CONSTRUCTION INVEST,TRUONG HAI MINERAL PROCESSING AND MINING CONSTRUCTION INVEST,CÔNG TY TRÁCH NHIỆM HỮU HẠN ĐẦU TƯ XÂY DỰNG KHAI THÁC VÀ CHẾ BIẾN KHOÁNG SẢN TRƯỜNG HẢI
-1,-1,CÔNG TY CỔ PHẦN THAN KHOÁNG SẢN MIỀN BẮC
